Date,AAL,AAPL,AMC,AMD,AMZN,BABA,BAC,BBD,CCL,CEI,CTRM,EDU,EEM,EFA,EWZ,F,FAMI,FXI,HYG,INTC,ITUB,IWM,MSFT,NIO,NOK,NVDA,PBR,PFE,PLTR,QQQ,SLV,SNAP,SNDL,SOXL,SPY,SQQQ,T,TLRY,TQQQ,TSLA,UBER,UVXY,VALE,VXX,WFC,XELA,XLE,XLF,XOM,ZOM
2021-01-01,15.77,132.69,21.2,91.71,162.85,232.73,30.31,5.26,21.66,46.0,1.85,185.81,51.67,72.96,37.07,8.79,240.0,46.43,87.3,49.82,5.02,196.06,222.42,48.74,3.91,130.55,11.23,36.81,23.55,313.74,24.57,50.07,4.74,31.1,373.88,75.9,21.72,8.26,45.45,235.22,51.0,1065.0,16.76,268.64,30.18,4980.0,37.9,29.48,41.22,0.23
2021-01-08,15.13,132.05,21.4,94.58,159.13,236.19,32.53,5.11,20.47,53.0,1.95,179.7,54.71,75.73,37.7,9.0,250.0,48.32,87.37,51.65,5.0,207.72,219.62,58.92,3.93,132.77,11.69,37.13,25.2,319.03,23.51,52.73,6.82,35.79,381.26,71.7,21.92,11.31,47.57,293.34,53.28,1021.0,18.92,261.6,33.19,6096.0,41.42,30.92,45.46,0.48
2021-01-15,15.76,127.14,23.3,88.21,155.21,243.46,33.01,5.04,20.79,65.0,3.36,172.81,54.35,74.4,36.89,9.83,260.0,48.62,87.11,57.58,4.91,210.75,212.65,56.27,4.08,128.6,10.9,36.7,25.64,311.86,22.95,50.31,7.14,37.82,375.7,76.6,22.03,19.7,44.34,275.39,55.52,1090.0,17.64,273.76,32.04,9936.0,42.75,30.94,47.89,0.98
2021-01-22,15.82,139.07,35.1,92.79,164.61,258.62,31.55,4.59,20.22,62.0,4.05,169.11,55.83,75.15,35.04,11.52,290.0,51.71,87.3,56.66,4.45,215.0,225.95,61.95,4.2,137.12,10.19,36.55,32.58,325.42,23.66,53.57,6.45,40.79,382.88,67.0,21.85,18.02,50.26,282.21,54.31,1019.0,17.21,262.4,31.9,12360.0,42.07,30.34,47.43,0.96
2021-01-29,17.17,131.96,132.6,85.64,160.31,253.83,29.65,4.54,18.67,69.5,6.2,167.5,53.31,72.39,34.19,10.53,252.0,49.36,86.97,55.51,4.3,205.56,231.96,57.0,4.56,129.9,10.05,35.9,35.18,314.56,24.99,52.94,8.15,33.4,370.07,73.55,21.62,18.1,45.24,264.51,50.93,1464.0,16.15,337.28,29.88,8600.0,39.32,28.95,44.84,0.92
2021-02-05,17.19,136.76,68.3,87.9,167.61,265.67,32.37,4.84,21.31,74.0,7.55,184.54,56.24,74.71,36.23,11.51,270.0,51.69,87.52,58.18,4.31,221.65,242.2,56.67,4.22,135.91,11.07,34.92,34.05,331.36,24.95,63.64,11.3,36.72,387.71,62.55,21.85,25.72,52.65,284.08,58.58,1005.0,17.26,263.52,32.56,12000.0,42.56,30.89,49.95,1.91
2021-02-12,17.27,135.37,55.9,93.77,163.89,267.85,33.37,4.69,20.6,92.0,14.7,195.87,57.8,76.31,36.03,11.45,382.0,53.58,87.78,61.81,4.26,227.26,244.99,59.85,4.17,149.61,10.55,34.72,31.91,336.45,25.31,61.97,20.8,45.77,392.64,59.8,21.75,29.0,55.06,272.04,60.63,942.0,17.5,251.84,33.53,10960.0,44.67,31.52,50.52,2.57
2021-02-19,18.68,129.87,57.0,89.58,162.49,263.59,34.54,4.58,24.59,99.5,12.1,192.77,57.53,76.25,35.68,11.58,350.0,53.61,87.5,63.01,4.23,225.19,240.97,55.04,4.07,149.26,10.05,34.44,29.0,331.02,25.26,65.52,15.3,45.8,390.03,62.7,21.9,29.21,52.41,260.43,58.39,881.0,18.22,241.6,37.83,10360.0,46.18,32.41,52.37,2.28
2021-02-26,20.94,121.26,80.1,84.51,154.65,237.76,34.71,4.14,26.75,72.0,9.99,177.62,53.73,74.01,31.9,11.7,256.0,49.07,86.44,60.78,3.73,218.31,232.38,45.78,3.92,137.15,7.93,33.49,23.9,314.14,24.66,65.66,13.3,38.71,380.36,72.4,21.06,24.36,44.61,225.17,51.75,954.0,16.9,256.48,36.17,8640.0,48.15,32.31,54.37,1.87
2021-03-05,20.45,121.42,80.5,78.52,150.02,233.89,36.93,4.4,26.09,60.0,8.07,182.44,53.83,74.63,32.99,12.27,228.0,48.85,86.62,60.74,3.99,217.71,231.6,38.11,3.88,124.61,7.76,34.39,23.95,308.68,23.36,57.43,11.35,32.75,383.63,75.2,22.37,21.63,41.88,199.32,55.54,872.0,17.74,241.92,37.43,6920.0,52.95,33.71,60.93,1.78
